class,sigmoid_output,softmax_output
0,[0.995993   0.00747327],[9.9996972e-01 3.0291258e-05]
0,[0.9821796  0.01188667],[9.9978179e-01 2.1821522e-04]
0,[0.97597826 0.01820576],[9.9954373e-01 4.5619998e-04]
0,[0.98365706 0.01383592],[9.9976701e-01 2.3304675e-04]
0,[0.99588436 0.01015198],[9.9995756e-01 4.2382959e-05]
0,[0.9914408  0.00843873],[9.9992657e-01 7.3467447e-05]
0,[0.98930895 0.01004335],[9.9989033e-01 1.0962319e-04]
0,[0.9568683  0.02922789],[0.99864465 0.0013553 ]
0,[0.98972577 0.00901629],[9.999056e-01 9.443938e-05]
0,[0.98941433 0.01699277],[9.9981517e-01 1.8491270e-04]
0,[0.95670223 0.05558657],[0.99734336 0.00265669]
0,[0.9851859  0.01322325],[9.9979860e-01 2.0145929e-04]
0,[0.9888948  0.01554633],[9.9982268e-01 1.7730823e-04]
0,[0.97375655 0.01987322],[9.9945384e-01 5.4615777e-04]
0,[0.76116043 0.21900664],[0.91912496 0.08087506]
0,[0.9450136  0.05703526],[0.9964929  0.00350702]
0,[0.98199296 0.02035763],[9.996190e-01 3.809144e-04]
0,[0.9609306  0.06837788],[0.9970247  0.00297527]
0,[0.98470646 0.01100851],[9.9982721e-01 1.7284707e-04]
0,[0.99412596 0.00396483],[9.9997652e-01 2.3519713e-05]
0,[0.9780661  0.01685091],[9.9961579e-01 3.8422435e-04]
0,[0.980056   0.01280384],[9.9973613e-01 2.6386676e-04]
0,[0.97389823 0.02485603],[9.9931729e-01 6.8268983e-04]
0,[0.9756683  0.01816382],[9.9953890e-01 4.6114583e-04]
0,[0.98802394 0.01691123],[9.9979156e-01 2.0846605e-04]
0,[0.95612395 0.05742403],[0.9972121  0.00278791]
0,[0.7687363  0.20062156],[0.92979884 0.07020116]
0,[0.98042816 0.02008009],[9.9959117e-01 4.0889633e-04]
0,[0.9861128  0.00596431],[9.999155e-01 8.449106e-05]
0,[0.9863912  0.02323122],[9.9967194e-01 3.2802555e-04]
0,[0.91629    0.03415027],[0.99678016 0.0032198 ]
0,[0.9728046  0.01707947],[9.9951446e-01 4.8552777e-04]
0,[0.99417275 0.00591651],[9.999651e-01 3.488402e-05]
0,[0.969597   0.04896926],[0.99838805 0.00161196]
0,[0.41726163 0.44226807],[0.4745065  0.52549356]
0,[0.9754912  0.02096698],[9.9946219e-01 5.3777714e-04]
0,[0.9141411  0.11733067],[0.98766905 0.01233097]
0,[0.98373485 0.0172289 ],[9.9971014e-01 2.8977380e-04]
0,[0.967629   0.02979762],[0.9989736  0.00102641]
0,[0.970131   0.04545829],[0.9985359 0.0014641]
0,[0.9941514  0.00270188],[9.9998403e-01 1.5937881e-05]
0,[0.9683662  0.03893228],[0.9986784  0.00132158]
0,[0.9875559  0.01323499],[9.9983096e-01 1.6898048e-04]
0,[0.96802497 0.02394945],[9.9919015e-01 8.0983498e-04]
0,[0.97589713 0.02598607],[9.993414e-01 6.584959e-04]
0,[0.97916573 0.01660134],[9.9964094e-01 3.5907075e-04]
0,[0.9686827  0.03682372],[0.9987656  0.00123449]
0,[0.99364233 0.01991724],[9.9986994e-01 1.3000863e-04]
0,[0.9964799  0.00354204],[9.9998748e-01 1.2556456e-05]
0,[0.97935826 0.0167778 ],[9.9964046e-01 3.5952646e-04]
0,[0.9958352  0.01027021],[9.999566e-01 4.339574e-05]
0,[0.89546734 0.1495803 ],[0.9798805  0.02011947]
0,[0.9840846  0.01752365],[9.9971157e-01 2.8837708e-04]
0,[0.97533405 0.03153946],[9.9917704e-01 8.2292251e-04]
0,[0.8540175  0.07416542],[0.98649186 0.01350814]
0,[0.98890215 0.02276479],[9.9973863e-01 2.6135720e-04]
0,[0.9953773  0.00565053],[9.9997365e-01 2.6390691e-05]
0,[0.978937   0.03633815],[9.9918932e-01 8.1068196e-04]
0,[0.9483992  0.02901334],[0.99837685 0.0016231 ]
0,[0.9676128  0.04109195],[0.9985677  0.00143228]
0,[0.9474587  0.06334231],[0.9962638  0.00373618]
0,[0.9651921  0.06613175],[0.9974527  0.00254731]
0,[0.9657398  0.01741851],[9.9937159e-01 6.2849163e-04]
0,[0.9786881  0.01418995],[9.9968672e-01 3.1335017e-04]
0,[0.99363506 0.00582877],[9.9996245e-01 3.7554808e-05]
0,[0.95463145 0.03317626],[0.9983719  0.00162814]
0,[0.9938154  0.00667921],[9.9995816e-01 4.1842890e-05]
0,[0.99557316 0.00209405],[9.9999070e-01 9.3307335e-06]
0,[0.99527764 0.0052001 ],[9.9997520e-01 2.4801353e-05]
0,[0.96444017 0.05418678],[0.9978921  0.00210793]
0,[0.9704344  0.01870865],[9.9941945e-01 5.8051292e-04]
0,[0.9788432  0.03141441],[9.992994e-01 7.005252e-04]
0,[0.98779744 0.01151872],[9.9985600e-01 1.4393189e-04]
0,[0.84305906 0.15819386],[0.9661995  0.03380046]
0,[0.9816342  0.00965576],[9.9981767e-01 1.8238173e-04]
0,[0.7927347 0.2878713],[0.9044117  0.09558833]
0,[0.9868324 0.0152233],[9.9979383e-01 2.0622791e-04]
0,[0.9688683  0.05433706],[0.9981571  0.00184288]
0,[0.9820894  0.01243908],[9.9977034e-01 2.2965862e-04]
0,[0.99670875 0.00148013],[9.999951e-01 4.894758e-06]
0,[0.92367524 0.17471464],[0.9828075  0.01719252]
0,[0.9399664  0.02608022],[0.9982926  0.00170737]
0,[0.9911412 0.0102237],[9.9990773e-01 9.2313843e-05]
0,[0.9929012  0.00527676],[9.999621e-01 3.792540e-05]
0,[0.988368   0.01108378],[9.9986804e-01 1.3188946e-04]
0,[0.94805074 0.06797269],[0.99601966 0.00398035]
0,[0.9547327  0.03598902],[0.9982331  0.00176695]
0,[0.9560755  0.02678113],[0.9987374  0.00126266]
0,[0.97885484 0.02365828],[9.9947685e-01 5.2317441e-04]
0,[0.9742967  0.01762947],[9.9952686e-01 4.7321155e-04]
0,[0.9817052  0.02710231],[9.9948114e-01 5.1887293e-04]
0,[0.9408677 0.0618912],[0.99587065 0.00412929]
0,[0.9605632  0.05286862],[0.99771357 0.00228649]
0,[0.8961205  0.05166104],[0.99372476 0.00627523]
0,[0.9883719  0.01905992],[9.997714e-01 2.285424e-04]
0,[0.9693291  0.02105466],[9.9931991e-01 6.8006286e-04]
0,[0.976591   0.05391641],[0.9986358  0.00136417]
0,[0.9848809  0.01246887],[9.998062e-01 1.937914e-04]
0,[0.997285   0.00223639],[9.9999392e-01 6.1019214e-06]
0,[0.95682675 0.0455224 ],[0.9978527  0.00214737]
0,[0.9433481  0.03219783],[0.99800605 0.00199396]
0,[0.9567465  0.03266736],[0.9984756 0.0015244]
0,[0.9901063 0.0183236],[9.9981350e-01 1.8648304e-04]
0,[0.9868247  0.01440365],[9.9980491e-01 1.9507876e-04]
0,[0.9926214  0.00801045],[9.9993992e-01 6.0022627e-05]
0,[0.94990206 0.03266888],[0.99822205 0.00177798]
0,[0.9698193  0.03793104],[0.9987746  0.00122545]
0,[0.9571338  0.05813831],[0.99724317 0.00275689]
0,[0.9970283  0.00334953],[9.9998999e-01 1.0016922e-05]
0,[0.93816173 0.08366232],[0.99401796 0.00598203]
0,[0.9373533  0.06925286],[0.9950518  0.00494819]
0,[0.5932935  0.34323558],[0.73623794 0.26376212]
0,[0.9929109  0.01258332],[9.9990904e-01 9.0977308e-05]
0,[0.96238446 0.03411113],[0.9986216  0.00137844]
0,[0.9909196 0.009197 ],[9.999149e-01 8.505238e-05]
0,[0.99739957 0.00537597],[9.9998593e-01 1.4091674e-05]
0,[0.977136   0.03562739],[9.9913639e-01 8.6369505e-04]
0,[0.83598024 0.1286718 ],[0.9718422  0.02815771]
0,[0.966513   0.03444318],[0.9987656 0.0012344]
0,[0.97139615 0.03355158],[0.99897885 0.00102122]
0,[0.9443302  0.02951862],[0.9982101  0.00178989]
0,[0.9920562  0.00921268],[9.999255e-01 7.445015e-05]
0,[0.9876561  0.01301986],[9.9983513e-01 1.6484382e-04]
0,[0.89386666 0.07031684],[0.9910994  0.00890063]
0,[0.9787421  0.02150629],[9.9952292e-01 4.7714586e-04]
0,[0.9901929  0.01442322],[9.9985504e-01 1.4492025e-04]
0,[0.8792055  0.09406716],[0.98593473 0.01406523]
0,[0.99800247 0.00268971],[9.9999464e-01 5.3979957e-06]
0,[0.92334616 0.07203055],[0.99359727 0.0064027 ]
0,[0.991017  0.0053636],[9.9995112e-01 4.8878053e-05]
0,[0.96826655 0.03068696],[0.9989635  0.00103648]
0,[0.94127935 0.03113294],[0.99799937 0.00200059]
0,[0.98654765 0.01011391],[9.9986064e-01 1.3930041e-04]
0,[0.8798381  0.09194259],[0.9863603  0.01363964]
0,[0.6263396 0.2277564],[0.850378   0.14962202]
0,[0.9484407  0.11719725],[0.9928348 0.0071652]
0,[0.90810114 0.12737413],[0.98544335 0.01455662]
0,[0.99740016 0.00179895],[9.9999535e-01 4.6976024e-06]
0,[0.9880442  0.00975219],[9.9988079e-01 1.1915405e-04]
0,[0.89235765 0.11952983],[0.983888   0.01611208]
0,[0.9923469  0.01126306],[9.9991214e-01 8.7843437e-05]
0,[0.9781275  0.01296598],[9.9970633e-01 2.9366248e-04]
0,[0.9830116  0.01044395],[9.9981767e-01 1.8236451e-04]
0,[0.9087114  0.09640965],[0.98939496 0.01060497]
0,[0.7542695 0.3248248],[0.8645025  0.13549757]
0,[0.8783258  0.15752138],[0.9747525  0.02524746]
0,[0.99541855 0.00464333],[9.9997854e-01 2.1470365e-05]
0,[0.9104441  0.14451787],[0.9836547  0.01634534]
0,[0.99055016 0.01243104],[9.9987996e-01 1.2006936e-04]
0,[0.9529723  0.02888951],[0.9985341  0.00146591]
0,[0.9452418  0.05101829],[0.9968953  0.00310473]
0,[0.9621411  0.08299076],[0.9964515  0.00354848]
0,[0.97191805 0.02580204],[9.992354e-01 7.646662e-04]
0,[0.86058015 0.12247642],[0.9778886  0.02211141]
0,[0.99550784 0.01120628],[9.9994886e-01 5.1137984e-05]
0,[0.97961843 0.02333637],[9.9950314e-01 4.9688161e-04]
0,[0.9316441  0.06998818],[0.9945088  0.00549125]
0,[0.9688483  0.02376733],[9.9921775e-01 7.8219257e-04]
0,[0.9817608 0.0149163],[9.9971873e-01 2.8123226e-04]
0,[0.9901266  0.00872738],[9.9991226e-01 8.7786830e-05]
0,[0.98767686 0.01314794],[9.998338e-01 1.662040e-04]
0,[0.9258697  0.13607009],[0.9875466 0.0124534]
0,[0.99935573 0.0010556 ],[9.999993e-01 6.812245e-07]
0,[0.99477047 0.00677367],[9.9996412e-01 3.5851073e-05]
0,[0.9354249  0.07060481],[0.994783   0.00521697]
0,[0.9871421  0.00939101],[9.9987650e-01 1.2346565e-04]
0,[0.9711313  0.02487201],[9.992424e-01 7.576524e-04]
0,[0.96618783 0.03980779],[0.9985512  0.00144874]
0,[0.98955536 0.00710217],[9.9992454e-01 7.5493153e-05]
0,[0.9203432 0.0872217],[0.9917973  0.00820266]
0,[0.98783255 0.01622492],[9.997969e-01 2.031010e-04]
0,[0.980928  0.0353591],[9.992879e-01 7.121718e-04]
0,[0.9987895 0.0010423],[9.9999869e-01 1.2645613e-06]
0,[0.98055077 0.01757458],[9.9964523e-01 3.5470081e-04]
0,[0.9896241  0.00609325],[9.9993575e-01 6.4273685e-05]
0,[0.9292151  0.05860326],[0.99528027 0.00471975]
0,[0.9813514  0.01631953],[9.9968481e-01 3.1516727e-04]
0,[0.93280023 0.06140323],[0.9953092  0.00469083]
0,[0.9636905  0.04192904],[0.99835384 0.0016462 ]
0,[0.9249152 0.0660031],[0.9942959  0.00570407]
0,[0.98675287 0.00897162],[9.9987841e-01 1.2151928e-04]
0,[0.98523754 0.01661887],[9.9974686e-01 2.5315638e-04]
0,[0.9601696  0.04874366],[0.9978789  0.00212112]
0,[0.9706232  0.03073951],[9.9904102e-01 9.5894525e-04]
0,[0.918342   0.03476329],[0.9968078  0.00319222]
0,[0.98635185 0.01667588],[9.9976546e-01 2.3460154e-04]
0,[0.9711165  0.06485944],[0.9979413  0.00205864]
0,[0.8568649  0.14786026],[0.9718313  0.02816862]
0,[0.9619619  0.03493695],[0.99857056 0.00142945]
0,[0.42454678 0.5826036 ],[0.3457878 0.6542122]
0,[0.9859599  0.02639292],[9.9961412e-01 3.8587375e-04]
0,[0.9729963  0.02992917],[9.9914443e-01 8.5552310e-04]
0,[0.98689806 0.00840598],[9.9988747e-01 1.1252998e-04]
0,[0.98794913 0.00916211],[9.9988723e-01 1.1277877e-04]
0,[0.9890682  0.01125433],[9.9987423e-01 1.2578939e-04]
0,[0.980467   0.00893547],[9.998204e-01 1.795867e-04]
0,[0.95436895 0.04057807],[0.9979818  0.00201813]
0,[0.99870074 0.00154391],[9.9999797e-01 2.0116997e-06]
0,[0.9853339 0.0176872],[9.9973208e-01 2.6793205e-04]
0,[0.9877757  0.00510212],[9.9993658e-01 6.3461346e-05]
0,[0.9812836  0.02278447],[9.9955553e-01 4.4451153e-04]
0,[0.9369956  0.08721343],[0.99361634 0.00638361]
0,[0.95903015 0.04761166],[0.9978689  0.00213111]
0,[0.99348104 0.00637627],[9.999579e-01 4.210644e-05]
0,[0.97906417 0.03315051],[9.9926740e-01 7.3264434e-04]
0,[0.96698594 0.02726033],[9.990441e-01 9.558685e-04]
0,[0.9878594  0.01312291],[9.9983656e-01 1.6339567e-04]
0,[0.94335586 0.07253703],[0.9953258  0.00467421]
0,[0.9580237  0.09524167],[0.99540883 0.00459117]
0,[0.9930949  0.00521299],[9.9996352e-01 3.6435078e-05]
0,[0.98679173 0.01478868],[9.9979919e-01 2.0087829e-04]
0,[0.990575   0.02104014],[9.9979562e-01 2.0445233e-04]
0,[0.99198145 0.0045963 ],[9.9996269e-01 3.7323418e-05]
0,[0.9946956  0.00574488],[9.9996924e-01 3.0811811e-05]
0,[0.7832148 0.2740605],[0.90539134 0.09460872]
0,[0.9901929  0.00936471],[9.9990642e-01 9.3618684e-05]
0,[0.8426394  0.06858958],[0.98643434 0.01356562]
0,[0.9556816  0.03877524],[0.9981329  0.00186719]
0,[0.9804521  0.01745197],[9.9964595e-01 3.5400494e-04]
0,[0.934803   0.07465281],[0.9944048  0.00559516]
0,[0.97820026 0.01650741],[9.9962604e-01 3.7391233e-04]
0,[0.9530407  0.04703866],[0.9975738  0.00242625]
0,[0.9751608  0.02161554],[9.994375e-01 5.624370e-04]
0,[0.9110467  0.07898416],[0.9916963  0.00830373]
0,[0.96839875 0.02837055],[9.9904805e-01 9.5192593e-04]
0,[0.962341   0.04190333],[0.99829143 0.00170858]
0,[0.9275032  0.03007696],[0.9975821  0.00241796]
0,[0.98561513 0.00573461],[9.9991584e-01 8.4170832e-05]
0,[0.9852562  0.02812963],[9.9956709e-01 4.3293968e-04]
0,[0.982419   0.03173839],[9.994137e-01 5.862491e-04]
0,[0.98371243 0.02350716],[9.9960154e-01 3.9842416e-04]
0,[0.9516396  0.03872224],[0.9979571  0.00204287]
0,[0.99590415 0.00327941],[9.9998641e-01 1.3531613e-05]
0,[0.9744503  0.01196117],[9.9968266e-01 3.1731269e-04]
0,[0.90796   0.0775025],[0.9915555  0.00844457]
0,[0.9811823  0.01429365],[9.9972194e-01 2.7803070e-04]
0,[0.8746209  0.12222455],[0.98042977 0.01957027]
0,[0.9624579  0.04023118],[0.9983676  0.00163239]
0,[0.99276537 0.00866431],[9.9993634e-01 6.3687599e-05]
0,[0.97042364 0.01763142],[9.9945325e-01 5.4671091e-04]
0,[0.9796708  0.03712384],[9.9920064e-01 7.9941645e-04]
0,[0.93807006 0.05801593],[0.99595046 0.00404955]
0,[0.9949621 0.0030836],[9.9998438e-01 1.5661493e-05]
0,[0.99117905 0.00695313],[9.9993765e-01 6.2308427e-05]
0,[0.9752771  0.01561513],[9.9959809e-01 4.0195478e-04]
0,[0.9794261  0.01869418],[9.996000e-01 4.000131e-04]
0,[0.99385285 0.01202264],[9.9992478e-01 7.5261196e-05]
0,[0.99500024 0.00278558],[9.9998593e-01 1.4036254e-05]
0,[0.98381895 0.01661965],[9.9972206e-01 2.7788893e-04]
0,[0.8717529  0.13784005],[0.97702026 0.02297973]
0,[0.9919064  0.00752989],[9.9993813e-01 6.1903687e-05]
0,[0.963543   0.04895059],[0.9980564  0.00194366]
0,[0.8481563  0.14958046],[0.96947205 0.03052798]
0,[0.9532364 0.0481393],[0.99752516 0.0024749 ]
0,[0.9891333  0.00879234],[9.999026e-01 9.744027e-05]
0,[0.913743   0.07031888],[0.99291044 0.00708954]
0,[0.89952755 0.05463914],[0.99358577 0.00641422]
0,[0.9530721  0.05834268],[0.9969586  0.00304142]
0,[0.9923085  0.01320575],[9.99896288e-01 1.03718034e-04]
0,[0.746539   0.26678252],[0.8900495  0.10995055]
0,[0.99100167 0.01992342],[9.9981552e-01 1.8454898e-04]
0,[0.98093295 0.0215507 ],[9.9957210e-01 4.2793955e-04]
0,[0.98415405 0.01426545],[9.9976701e-01 2.3296007e-04]
0,[0.92796564 0.14484297],[0.9870227  0.01297736]
0,[0.95026535 0.09213383],[0.9947166  0.00528337]
0,[0.99388313 0.00710543],[9.9995601e-01 4.4041783e-05]
0,[0.97304046 0.03887412],[0.99888057 0.00111938]
0,[0.8707428  0.10161933],[0.9834862  0.01651388]
0,[0.98828876 0.01081332],[9.9987042e-01 1.2952149e-04]
0,[0.9731305 0.0282602],[9.9919766e-01 8.0235308e-04]
0,[0.9863223  0.01806889],[9.9974483e-01 2.5511268e-04]
0,[0.93429345 0.0392383 ],[0.997136   0.00286401]
0,[0.9595297  0.04163508],[0.998171   0.00182899]
0,[0.910571   0.10242575],[0.9889169  0.01108314]
0,[0.98909247 0.01200457],[9.9986601e-01 1.3397483e-04]
0,[0.98562545 0.01229501],[9.9981850e-01 1.8151151e-04]
0,[0.97353137 0.04015494],[0.99886394 0.00113612]
0,[0.98411554 0.00901147],[9.9985325e-01 1.4675362e-04]
0,[0.98663074 0.00869395],[9.99881148e-01 1.18825694e-04]
0,[0.9921151  0.01175623],[9.9990547e-01 9.4535877e-05]
0,[0.95944875 0.02109639],[9.9908996e-01 9.1002829e-04]
0,[0.9912833  0.01356929],[9.99879003e-01 1.20945784e-04]
0,[0.9872829  0.00863205],[9.99887824e-01 1.12144335e-04]
0,[0.97442687 0.03296784],[9.9910611e-01 8.9391565e-04]
0,[0.9638256  0.01886943],[9.9927872e-01 7.2130805e-04]
0,[0.9732233  0.02634649],[9.9925607e-01 7.4394356e-04]
0,[9.9938071e-01 6.6470157e-04],[9.9999964e-01 4.1218954e-07]
0,[0.97553796 0.01630678],[9.9958450e-01 4.1550602e-04]
0,[0.98459756 0.01119774],[9.998229e-01 1.771227e-04]
0,[9.9917275e-01 8.3235535e-04],[9.9999928e-01 6.8969706e-07]
0,[0.9670835  0.04191519],[0.99851316 0.00148686]
0,[0.9970674  0.00358455],[9.9998939e-01 1.0580678e-05]
0,[0.9863492  0.01401403],[9.9980336e-01 1.9666774e-04]
0,[0.9644122  0.02441831],[9.990772e-01 9.227611e-04]
0,[0.98933697 0.00989175],[9.9989235e-01 1.0766634e-04]
0,[0.9918669  0.00904102],[9.9992514e-01 7.4805263e-05]
0,[0.9866094  0.02858672],[9.9960083e-01 3.9924585e-04]
0,[0.9952245  0.00464919],[9.9997759e-01 2.2412578e-05]
0,[0.9846206  0.01948803],[9.9968970e-01 3.1035062e-04]
0,[0.98623115 0.00947231],[9.9986649e-01 1.3349076e-04]
0,[0.9708682  0.02068633],[9.9936658e-01 6.3342205e-04]
0,[0.9554432  0.05611916],[0.997235   0.00276503]
0,[0.98791915 0.01443772],[9.9982089e-01 1.7910718e-04]
0,[0.9642241  0.02874389],[0.99890316 0.00109685]
0,[0.8758638  0.10417316],[0.9837858  0.01621416]
0,[0.9652955  0.04547121],[0.99829024 0.00170974]
0,[0.98273313 0.01751549],[9.9968684e-01 3.1314106e-04]
0,[0.2822015  0.60792994],[0.20226678 0.7977332 ]
0,[0.97040915 0.05551009],[0.998211   0.00178895]
0,[0.9783568  0.02711776],[9.993837e-01 6.162413e-04]
0,[0.82954246 0.13629343],[0.9685929  0.03140708]
0,[0.9861865  0.03405757],[9.9950635e-01 4.9362099e-04]
0,[0.9630599  0.05952029],[0.99757844 0.00242163]
0,[0.9305625 0.0454514],[0.99645954 0.00354044]
0,[0.90983087 0.11538094],[0.98723865 0.01276136]
0,[0.87418616 0.16985336],[0.97139513 0.02860485]
0,[0.9150735  0.04308365],[0.9958389  0.00416116]
0,[0.9827116  0.02777593],[9.9949765e-01 5.0235802e-04]
0,[0.97755617 0.01122146],[9.9973947e-01 2.6049124e-04]
0,[0.9456714  0.11259474],[0.99276346 0.00723653]
0,[0.9935888  0.00345769],[9.9997759e-01 2.2387667e-05]
0,[0.93467355 0.04729413],[0.9965424  0.00345759]
0,[0.9632198  0.02926324],[0.9988502  0.00114977]
0,[0.97588444 0.02067661],[9.9947852e-01 5.2146526e-04]
0,[0.9610586  0.02057514],[9.9914956e-01 8.5047737e-04]
0,[0.97563976 0.01833529],[9.9953389e-01 4.6613795e-04]
0,[0.96014357 0.03944818],[0.9982981  0.00170188]
0,[0.88660026 0.20522536],[0.9680287  0.03197125]
0,[0.9951415  0.00595956],[9.9997067e-01 2.9269553e-05]
0,[0.9748156  0.03366229],[9.9910092e-01 8.9915213e-04]
0,[0.916043   0.07048125],[0.99309844 0.00690158]
0,[0.9788832  0.01804423],[9.9960381e-01 3.9625284e-04]
0,[0.98665255 0.01397981],[9.9980825e-01 1.9176379e-04]
0,[0.9103626  0.10730702],[0.9883025  0.01169744]
0,[0.9970618  0.00321581],[9.9999046e-01 9.5069263e-06]
0,[0.93805254 0.06147045],[0.9956934  0.00430665]
0,[0.9895856  0.00865559],[9.9990809e-01 9.1878945e-05]
0,[0.98809415 0.01909256],[9.9976557e-01 2.3447585e-04]
0,[0.9423983 0.067811 ],[0.9955734 0.0044266]
0,[0.46107802 0.410547  ],[0.5512447  0.44875526]
0,[0.96673423 0.03216334],[0.99885774 0.00114223]
0,[0.92641735 0.05980758],[0.9949728  0.00502713]
0,[0.9946242  0.00462366],[9.9997485e-01 2.5105423e-05]
0,[0.9409874  0.06362438],[0.9957568  0.00424315]
0,[0.961502   0.01399856],[9.9943179e-01 5.6812924e-04]
0,[0.9749469  0.03131565],[9.9916995e-01 8.3003903e-04]
0,[0.9887107  0.00810147],[9.999068e-01 9.325160e-05]
0,[0.98859286 0.01150908],[9.9986565e-01 1.3432841e-04]
0,[0.97397983 0.01665004],[9.9954778e-01 4.5213802e-04]
0,[0.9771707 0.0501215],[0.99876875 0.00123124]
0,[0.98342    0.01654967],[9.9971634e-01 2.8363365e-04]
0,[0.99094033 0.00738802],[9.9993193e-01 6.8043388e-05]
0,[0.9782956  0.02388548],[9.994574e-01 5.425947e-04]
0,[0.9185827  0.07885137],[0.99246997 0.00753001]
0,[0.9872591  0.01959968],[9.9974209e-01 2.5793043e-04]
0,[0.97876865 0.03539577],[9.9920470e-01 7.9534174e-04]
0,[0.9921991  0.00800613],[9.999366e-01 6.345003e-05]
0,[0.99385333 0.00373049],[9.999769e-01 2.315800e-05]
0,[0.99034506 0.01068471],[9.9989474e-01 1.0528018e-04]
0,[0.9713075  0.02452152],[9.992580e-01 7.420265e-04]
0,[0.9243826  0.11604871],[0.98937464 0.01062533]
0,[0.95257545 0.07445793],[0.9960108  0.00398918]
0,[0.89129555 0.11668757],[0.984144   0.01585604]
0,[0.99030006 0.01037385],[9.9989736e-01 1.0266535e-04]
0,[0.9737279 0.0354312],[9.9900985e-01 9.9010358e-04]
0,[0.989562   0.00573415],[9.999392e-01 6.082975e-05]
0,[0.99645543 0.00651809],[9.9997663e-01 2.3337754e-05]
0,[0.8940424  0.10343599],[0.98651135 0.01348859]
0,[0.9760172  0.02420819],[9.993907e-01 6.092323e-04]
0,[0.9760508  0.00702858],[9.998264e-01 1.736494e-04]
0,[0.9697048  0.03014715],[9.990299e-01 9.701826e-04]
0,[0.977754   0.02706138],[9.9936754e-01 6.3243037e-04]
0,[0.99032074 0.01558362],[9.9984527e-01 1.5469949e-04]
0,[0.9903957 0.0168632],[9.9983370e-01 1.6630767e-04]
0,[0.84075224 0.16716324],[0.9633747  0.03662532]
0,[0.9815687  0.03768642],[9.9926513e-01 7.3482486e-04]
0,[0.975397   0.01873461],[9.9951863e-01 4.8134540e-04]
0,[0.97433144 0.03085797],[9.9916184e-01 8.3812745e-04]
0,[0.7980388  0.13308056],[0.9626038  0.03739619]
0,[0.9852406  0.01505598],[9.9977106e-01 2.2894282e-04]
0,[0.9877386  0.00977887],[9.9987745e-01 1.2257486e-04]
0,[0.99023473 0.00908509],[9.9990964e-01 9.0406509e-05]
0,[0.916952   0.03230839],[0.99698526 0.00301474]
0,[0.95243376 0.03878338],[0.99798894 0.00201101]
0,[0.759975  0.2582397],[0.9009371  0.09906289]
0,[0.9870885  0.01104482],[9.9985397e-01 1.4606216e-04]
0,[0.97807467 0.02944459],[9.993204e-01 6.796177e-04]
0,[0.9887178  0.01085277],[9.9987483e-01 1.2518343e-04]
0,[0.9975834  0.00328517],[9.999920e-01 7.984405e-06]
0,[0.92633    0.11882255],[0.9893897  0.01061031]
0,[0.35306606 0.5964536 ],[0.26966968 0.73033035]
0,[0.988836   0.00658551],[9.9992514e-01 7.4838521e-05]
0,[0.9306946  0.05845029],[0.99539846 0.00460151]
0,[0.8193213  0.25563532],[0.92959833 0.07040171]
0,[0.99722195 0.00304673],[9.9999154e-01 8.5134579e-06]
0,[0.9467937  0.04584939],[0.99730694 0.0026931 ]
0,[0.9814254  0.02384079],[9.9953806e-01 4.6201987e-04]
0,[0.9942731  0.00871427],[9.9994934e-01 5.0631388e-05]
0,[0.9962967  0.00371079],[9.9998617e-01 1.3844631e-05]
0,[0.98698074 0.01459934],[9.9980468e-01 1.9539394e-04]
0,[0.9939261  0.00633324],[9.9996102e-01 3.8947488e-05]
0,[0.9908309 0.0071629],[9.9993324e-01 6.6759159e-05]
0,[0.97524005 0.03124737],[9.991817e-01 8.182469e-04]
0,[0.98777544 0.00745031],[9.9990714e-01 9.2887371e-05]
0,[0.92828    0.04222357],[0.9966055 0.0033945]
0,[0.963446   0.03686294],[0.99855    0.00145004]
0,[0.98752254 0.01271543],[9.998373e-01 1.627032e-04]
0,[0.9690508  0.03372362],[0.99888664 0.0011134 ]
0,[0.90217245 0.11638376],[0.98591876 0.01408125]
0,[0.99398947 0.00340258],[9.9997938e-01 2.0644871e-05]
0,[0.98764426 0.01609936],[9.9979538e-01 2.0466061e-04]
0,[0.9530301  0.02507234],[0.9987342  0.00126586]
0,[0.99332327 0.01591179],[9.9989128e-01 1.0867076e-04]
0,[0.9800685  0.01448481],[9.9970120e-01 2.9881677e-04]
0,[0.9897467  0.01535011],[9.9983847e-01 1.6147218e-04]
0,[0.9974388  0.00399009],[9.9998975e-01 1.0286492e-05]
0,[0.931034   0.04751973],[0.996318   0.00368202]
0,[0.9090655  0.08078705],[0.99128515 0.00871481]
0,[0.9880569  0.01066115],[9.9986970e-01 1.3023756e-04]
0,[0.955069   0.06385493],[0.99680126 0.00319868]
0,[0.98315424 0.01319241],[9.9977094e-01 2.2901356e-04]
0,[0.9971808  0.00508603],[9.9998558e-01 1.4452089e-05]
0,[0.93642044 0.13602854],[0.9894231  0.01057692]
0,[0.9735267  0.02751214],[9.9923134e-01 7.6871814e-04]
0,[0.9361804  0.06789605],[0.9950589 0.0049411]
0,[0.93907505 0.05432555],[0.99628687 0.00371315]
0,[0.99064153 0.02093829],[9.9979800e-01 2.0199052e-04]
0,[0.9850969  0.01232246],[9.9981135e-01 1.8871234e-04]
0,[0.46461874 0.5370165 ],[0.42797953 0.5720205 ]
0,[0.99309903 0.01510096],[9.9989343e-01 1.0653355e-04]
